id,country,income,gender
1,United States,$8223309.58,Female
2,Croatia,$9686409.24,Female
3,Croatia,$8365431.49,Male
4,United States,$8056944.92,Female
5,Colombia,$9118019.32,Female
6,Poland,$3926699.67,Female
7,Morocco,$2257508.57,Female
8,China,$1103198.22,Male
9,China,$698429.21,Female
10,United States,$9993181.20,Female
11,Philippines,$7311424.30,Male
12,France,$2248011.22,Female
13,Philippines,$35289.55,Female
14,China,$825883.21,Female
15,Indonesia,$3814215.47,Female
16,China,$8251141.99,Female
17,China,$1109731.82,Female
18,Poland,$7495169.89,Male
19,Canada,$8962529.72,Female
20,Czech Republic,$3250205.58,Male
21,China,$526079.91,Female
22,United States,$7463115.44,Female
23,Iraq,$5514868.70,Male
24,Dominican Republic,$9841196.60,Male
25,Brazil,$804157.29,Female
26,United States,$8296648.58,Female
27,Indonesia,$4518110.98,Male
28,Vietnam,$2965732.37,Female
29,Colombia,$4200988.60,Male
30,Panama,$2880320.17,Female
31,China,$5588537.83,Male
32,Guinea,$5448084.42,Female
33,Luxembourg,$3507411.72,Female
34,Turkmenistan,$7357905.36,Female
35,Poland,$8855126.74,Female
36,Philippines,$175131.27,Female
37,Peru,$3591891.69,Male
38,Mexico,$1004528.24,Male
39,Indonesia,$8641907.15,Male
40,China,$4318112.89,Male
41,Indonesia,$3948360.10,Female
42,Luxembourg,$7960609.77,Male
43,Argentina,$5124623.72,Male
44,Russia,$4028224.00,Female
45,Honduras,$9699791.64,Male
46,Brazil,$4409491.46,Male
47,United States,$6777244.36,Female
48,Portugal,$5112918.71,Male
49,Pakistan,$5183768.30,Female
50,Egypt,$4687150.27,Female
51,Dominican Republic,$9957994.93,Female
52,Venezuela,$4390159.88,Female
53,China,$5536156.44,Male
54,Indonesia,$3671461.98,Male
55,Indonesia,$1514464.30,Female
56,China,$4504390.88,Female
57,Mexico,$1064761.52,Female
58,Peru,$8667025.53,Male
59,France,$5369010.59,Male
60,Peru,$6299416.54,Male
61,Indonesia,$9900100.42,Male
62,Sweden,$160561.05,Male
63,Greece,$2878230.89,Male
64,Indonesia,$540952.57,Female
65,Vietnam,$1027306.33,Male
66,Czech Republic,$8579950.06,Female
67,Palestinian Territory,$733469.23,Female
68,Papua New Guinea,$6663203.29,Female
69,China,$2325522.06,Female
70,Indonesia,$6979597.64,Female
71,China,$5906672.35,Male
72,China,$1084381.47,Female
73,Philippines,$5141594.51,Female
74,Portugal,$4445067.49,Male
75,China,$8060889.02,Female
76,Brazil,$1768848.24,Female
77,Portugal,$5530372.99,Female
78,Czech Republic,$5429149.96,Female
79,Philippines,$6917318.98,Female
80,Finland,$4341074.32,Female
81,Ecuador,$8841096.90,Female
82,Brazil,$1119576.75,Female
83,Turkmenistan,$2613371.53,Male
84,Brazil,$8515397.00,Male
85,China,$8161241.76,Male
86,Indonesia,$698975.97,Female
87,Cyprus,$2804113.16,Female
88,Peru,$9010660.59,Female
89,China,$3066058.70,Male
90,Jamaica,$3271570.16,Male
91,Philippines,$5988790.28,Male
92,Thailand,$9451035.33,Female
93,Sweden,$8542208.35,Female
94,France,$5320162.29,Female
95,Poland,$2044700.66,Male
96,Philippines,$8022646.06,Male
97,China,$5766597.05,Male
98,Russia,$4997671.85,Female
99,Bahrain,$2072824.17,Female
100,Greece,$5181254.03,Female
101,Philippines,$6698995.19,Male
102,South Africa,$6645359.26,Female
103,China,$4141661.13,Male
104,Sweden,$9672598.48,Male
105,Nigeria,$5875864.16,Female
106,Czech Republic,$7526250.32,Male
107,Philippines,$5496818.70,Male
108,Mongolia,$4854196.74,Male
109,United States,$6871965.85,Female
110,Indonesia,$8082624.57,Female
111,Myanmar,$3625077.79,Male
112,Brazil,$4787344.08,Male
113,Cameroon,$6901938.13,Male
114,Colombia,$2846885.96,Male
115,Japan,$7866393.44,Male
116,Armenia,$3904068.28,Female
117,China,$3685030.10,Female
118,Sweden,$5814321.20,Female
119,China,$2382490.06,Male
120,Croatia,$7829319.24,Female
121,Philippines,$4428252.16,Female
122,Czech Republic,$5906086.61,Male
123,France,$9968251.04,Male
124,Thailand,$2210480.13,Female
125,China,$9117908.05,Female
126,Egypt,$1288595.26,Male
127,Latvia,$1484370.36,Male
128,United States,$8566661.43,Female
129,Brazil,$8921477.10,Female
130,Indonesia,$4952350.36,Male
131,Serbia,$4593538.75,Male
132,China,$611972.87,Male
133,Norway,$1079159.73,Male
134,Philippines,$499118.11,Female
135,China,$7722276.56,Female
136,Kenya,$4789202.61,Female
137,Poland,$6336333.54,Male
138,Japan,$6294377.69,Male
139,China,$7637332.74,Female
140,Indonesia,$9211289.81,Female
141,Norway,$9554937.98,Female
142,Indonesia,$1533198.74,Female
143,Japan,$1507125.66,Male
144,Serbia,$8502536.17,Male
145,China,$5375756.25,Female
146,China,$6261442.63,Male
147,Macedonia,$7888478.79,Female
148,Ethiopia,$9007035.13,Male
149,China,$5143263.18,Female
150,France,$6849983.32,Male
151,Indonesia,$4666736.06,Male
152,Poland,$4357962.01,Female
153,Indonesia,$4230812.10,Male
154,China,$6319297.31,Male
155,Brazil,$9267666.57,Female
156,Japan,$7019069.74,Female
157,Portugal,$9721660.49,Male
158,Mongolia,$3997323.66,Female
159,Indonesia,$8787142.24,Male
160,China,$68240.46,Male
161,Canada,$9766066.45,Male
162,China,$5939859.19,Female
163,Czech Republic,$702791.66,Female
164,South Africa,$2083930.23,Female
165,Philippines,$7684908.00,Male
166,Poland,$7309831.72,Female
167,Russia,$3347322.54,Female
168,China,$3363161.18,Female
169,Russia,$6210539.10,Male
170,China,$3181507.77,Female
171,China,$8539832.56,Female
172,China,$1091903.97,Male
173,Sweden,$8731724.84,Male
174,Indonesia,$2913025.49,Male
175,Indonesia,$2991675.07,Male
176,Nigeria,$3074496.57,Female
177,China,$1726551.31,Female
178,Russia,$8973224.30,Male
179,Kazakhstan,$4839465.31,Male
180,China,$9864529.02,Female
181,China,$912108.76,Male
182,Czech Republic,$1875044.65,Female
183,Tunisia,$3217509.80,Male
184,France,$2814657.10,Female
185,Israel,$4176861.31,Female
186,Czech Republic,$2157017.37,Female
187,China,$3422650.37,Female
188,China,$709216.36,Female
189,Guyana,$7355472.19,Male
190,Sweden,$8476782.79,Female
191,Indonesia,$7424126.22,Female
192,Mozambique,$8380722.08,Female
193,South Korea,$3159909.83,Male
194,China,$1005983.97,Male
195,Mongolia,$2685385.42,Female
196,China,$3523530.99,Female
197,Brazil,$288371.72,Female
198,China,$6047977.41,Female
199,Philippines,$4985978.28,Male
200,Tanzania,$1483848.36,Male
201,China,$6301708.29,Male
202,Ukraine,$7731223.56,Male
203,France,$9023496.05,Female
204,Argentina,$2653242.88,Male
205,Russia,$2746786.98,Female
206,Tunisia,$2098307.21,Female
207,Indonesia,$135896.37,Male
208,Poland,$3952517.77,Male
209,Croatia,$6831420.20,Female
210,Czech Republic,$8333519.08,Male
211,Armenia,$6128927.18,Female
212,Portugal,$7929941.46,Male
213,Indonesia,$709760.97,Female
214,Philippines,$6842884.04,Male
215,Ireland,$6216328.34,Female
216,Mexico,$5065226.92,Female
217,Greece,$4959048.65,Female
218,China,$9470719.20,Male
219,Iran,$5114463.94,Female
220,Poland,$9286269.74,Male
221,Russia,$9601078.32,Female
222,China,$8146514.40,Female
223,Czech Republic,$8473533.20,Female
224,Albania,$8779968.02,Male
225,Azerbaijan,$6450605.73,Female
226,Finland,$8545889.59,Male
227,Poland,$9039755.98,Male
228,United States,$8478951.53,Female
229,Indonesia,$9202674.40,Male
230,Brazil,$7136662.44,Female
231,China,$1099376.21,Female
232,Russia,$614190.63,Female
233,Indonesia,$7943997.40,Male
234,Russia,$9803720.72,Female
235,China,$3644458.52,Male
236,Sweden,$6420635.83,Female
237,Indonesia,$675340.72,Male
238,China,$9360057.43,Male
239,Brazil,$4998143.24,Female
240,France,$4528779.77,Female
241,China,$347411.82,Male
242,Indonesia,$6256883.79,Male
243,China,$7902560.57,Male
244,Indonesia,$8313733.60,Female
245,Netherlands,$3658700.52,Male
246,Kosovo,$8866353.48,Female
247,Peru,$7758953.01,Female
248,Pakistan,$2067552.36,Male
249,China,$6370322.23,Female
250,Iran,$2821006.69,Male
251,Philippines,$7699163.65,Female
252,Ukraine,$2465317.24,Female
253,Mexico,$354936.58,Female
254,China,$9411818.91,Female
255,Indonesia,$4266669.83,Male
256,Vietnam,$6478417.56,Female
257,Sweden,$5668290.85,Male
258,Bulgaria,$7880855.27,Female
259,Poland,$3475629.31,Female
260,Bosnia and Herzegovina,$9660583.56,Male
261,China,$8120014.69,Male
262,Sweden,$3492593.79,Female
263,China,$8777421.69,Male
264,China,$2167250.74,Female
265,Indonesia,$458443.29,Male
266,Thailand,$5329985.71,Female
267,France,$5485793.68,Male
268,Sweden,$2598705.68,Male
269,Chile,$1315209.70,Male
270,Russia,$8103346.69,Male
271,Poland,$8326280.47,Female
272,Faroe Islands,$3019904.38,Male
273,China,$4819505.13,Male
274,Brazil,$2385453.59,Female
275,Indonesia,$6455149.29,Male
276,Norway,$8681356.88,Female
277,Germany,$8181886.93,Male
278,Zimbabwe,$5093702.05,Female
279,Philippines,$5124595.03,Female
280,France,$8754070.84,Male
281,Vietnam,$3538830.67,Female
282,Azerbaijan,$3722670.27,Female
283,Marshall Islands,$8642067.98,Female
284,Netherlands,$4950259.18,Male
285,Philippines,$7961559.06,Male
286,Bosnia and Herzegovina,$6678989.53,Female
287,Poland,$1343736.27,Male
288,Philippines,$8392759.71,Male
289,Dominican Republic,$512117.87,Female
290,Poland,$3879198.15,Female
291,United States,$383423.76,Female
292,Albania,$4643639.06,Male
293,Brazil,$3186438.01,Male
294,China,$8326497.55,Male
295,Czech Republic,$6531216.61,Male
296,Argentina,$4751577.58,Female
297,Russia,$961753.48,Female
298,Canada,$8030677.07,Female
299,Indonesia,$7020377.77,Female
300,Czech Republic,$4986576.25,Male
301,Slovenia,$8626478.89,Male
302,Russia,$5146196.27,Male
303,China,$5282430.37,Male
304,Sri Lanka,$2730824.16,Male
305,Philippines,$8093534.81,Female
306,Indonesia,$5415971.49,Female
307,Denmark,$1294830.06,Female
308,Vietnam,$407490.27,Female
309,China,$2396754.06,Female
310,Sweden,$457930.43,Female
311,Russia,$7965033.32,Male
312,China,$4254366.41,Female
313,Syria,$280015.26,Male
314,New Caledonia,$5375724.12,Male
315,Finland,$5066295.27,Male
316,El Salvador,$1484743.81,Female
317,Russia,$1189274.99,Male
318,Thailand,$930565.23,Male
319,Saudi Arabia,$1089877.22,Female
320,Russia,$6958034.40,Male
321,Poland,$4365031.79,Male
322,Palestinian Territory,$3155727.11,Female
323,China,$5589728.55,Female
324,Indonesia,$3031601.81,Female
325,China,$3185269.19,Female
326,Philippines,$549064.46,Female
327,Japan,$6211098.82,Female
328,China,$6480397.15,Female
329,Cameroon,$5682784.07,Male
330,Yemen,$8385658.10,Male
331,China,$1497460.18,Female
332,Indonesia,$1940749.03,Female
333,Myanmar,$929561.68,Female
334,Peru,$9744942.06,Female
335,China,$9467960.03,Female
336,China,$4710908.84,Male
337,China,$3993424.05,Female
338,Indonesia,$674435.08,Female
339,Botswana,$4299149.92,Male
340,China,$5757058.72,Female
341,Colombia,$251236.49,Female
342,Ukraine,$5482566.77,Male
343,China,$3877176.67,Female
344,United States,$8365545.42,Male
345,Portugal,$8101786.58,Female
346,Sweden,$6050257.11,Female
347,Ukraine,$2643694.73,Male
348,France,$9959510.18,Female
349,China,$1961426.95,Male
350,Russia,$9561520.74,Female
351,Brazil,$2345814.21,Male
352,China,$5526990.71,Male
353,Sierra Leone,$1722556.33,Female
354,Uganda,$8467394.79,Male
355,Indonesia,$6589518.92,Male
356,Greece,$1421724.21,Female
357,France,$2377897.56,Female
358,Russia,$5159992.04,Female
359,China,$1109861.88,Female
