Country or Area,"Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
Belgium,"2017","Beer made from malt","Import","201763915.968705","266933284.98","Volume in litres","266933284.98"
Belgium,"2017","Beer made from malt","Export","1651388261.21739","1586017478.13","Volume in litres","1586017478.13"
Sweden,"2017","Beer made from malt","Import","129159906.71997","94853363","Volume in litres","108872912"
Sweden,"2017","Beer made from malt","Export","57511190.15824","55930723.3380357","Volume in litres","67150603.0071922"
United Kingdom,"2017","Beer made from malt","Import","628191269.693565","1040953388.87574","Volume in litres","1059819061.37651"
United Kingdom,"2017","Beer made from malt","Export","677188748.06308","569544241","Volume in litres","569376088"
United Kingdom,"2017","Beer made from malt","Re-Import","25735.57580172","17814","Volume in litres","17809"
USA,"2017","Beer made from malt","Import","5326262702","5341464388.57761","Volume in litres","4807525959.05231"
USA,"2017","Beer made from malt","Export","685509295","688483050","Volume in litres","688483050"
USA,"2017","Beer made from malt","Re-Export","4494931","2730180","Volume in litres","2730180"
